id,source,app_type,review,rating,date
e09d4e19c79e06c778b39fd09b04b15e,google_play,customer,wardna,5,2025-09-28 10:49:23
ce2aaf385b8f20d4f265afa662880fbc,google_play,customer,"to be clear: NO STARS. this app is terrible. it arbitrarily sets delivery addresses based on faulty gps data and then dings you for a delivery fee when you are forced to cancel. DON'T USE IT. I. FACT, DON'T GIVE UBER ANY OF YOUR MONEY.",1,2025-09-28 10:29:36
4b2ecf0847bdf1d16101c89b9a912b03,google_play,customer,Good,5,2025-09-28 10:26:00
d8cfdad198045e66047c53963ccfca58,google_play,customer,uber eats has fallen off by out sourcing there customer service reps. they get all butt hurt when you ask for a higher up and keep pushing the button saying it's dealt with. I ordered $50 worth of pizza that was so screwed up I didn't even get a damn receipt. and the dude won't even deal with it. cancel your uber one and go with a skip or Door dash because they will actually help you,1,2025-09-28 10:12:42
52bf7e8341c8061fda8990a87630cc38,google_play,customer,good service,4,2025-09-28 10:07:22
1c68c778ef3d95e940471d76e074e709,google_play,customer,"Costumer service is really bad, half of the time food doesn't arrive. I've had orders cancelled after an hour of waiting for the food. Their competitors are usually faster, cheaper and reliable.",1,2025-09-28 10:06:32
a6b67c02e0ed7c6f906eb165e39d7f4c,google_play,customer,It is pretty nice having food delivered to your door.,5,2025-09-28 09:40:53
3b72fb146529ffc7744a602788d336ca,google_play,customer,2 hours late still nothing and can't even cancel the order or get a refund. dropping to my 11th delivery person . then oh we sorry gonna find another driver.,1,2025-09-28 09:40:29
a1253323977ffef207435b946f5f8225,google_play,customer,Avoid - use deliveroo!!! these are an absolute disgrace and have no idea of customer service,1,2025-09-28 09:34:47
89298f08536c81db3023f268c95a2216,google_play,customer,"Last night I placed an order at a local taco bell near our hotel in Irving, that according to my delivery driver is known for being extremely slow even though they were not busy. After my delivery time had been pushed back 45 mins from the original delivery time I attempt to cancel my order, but was informed they would still charge me $37 of the original $51 and had to wait an additional 30 mins for my delivery driver to receive my order and then deliver it to me, I will be deleting the app.",1,2025-09-28 09:28:45
a018f94cb6f457f1729f942ed9f9b738,google_play,customer,good save time and don't have to go anywhere,5,2025-09-28 09:20:18
